オンザウェイ,牡3,1:55.4,38.9,2,5.1,56.0
ベンガラグンジョウ,牡3,1:55.8,38.7,3,5.4,56.0
クワドラード,牡3,1:56.2,39.2,4,5.5,56.0
マテリアルワールド,牡3,1:56.6,39.8,9,31.1,53.0
ワンダーヴァレッタ,牡3,1:56.7,39.3,8,24.5,56.0
ペイシャラトゥール,牡3,1:56.7,39.5,12,108.9,53.0
マイネルイヴィンス,牡3,1:56.8,40.3,1,3.2,56.0
ゴー,牡3,1:56.8,39.6,6,13.5,56.0
レッドグラティアス,牡3,1:57.2,40.4,5,9.8,56.0
クロヒョウ,牡3,1:57.9,39.9,10,46.4,54.0
ファイティングマン,牡3,1:59.4,41.9,7,13.6,56.0
キシャポッポ,牡3,1:59.5,42.6,13,145.3,56.0
ヴァンキッシュアイ,牡3,1:59.5,41.4,14,156.0,55.0
コヨキチボンバー,牡3,1:59.7,41.7,16,257.7,56.0
ミエノフォーチュン,牡3,1:59.7,40.8,11,67.3,56.0
ホウオウスティング,牡3,2:02.3,44.4,15,217.3,56.0
