グランドロワ,牡3,1:11.6,36.5,2,6.2,56.0
ホッコーカゲムシャ,牡3,1:11.8,36.3,3,7.3,56.0
ツキノミチ,牝3,1:11.9,36.2,8,17.0,52.0
マッセル,牡3,1:11.9,36.3,5,7.9,56.0
スマートサクソン,牝3,1:12.5,36.4,9,30.4,54.0
メイショウルーシー,牝3,1:13.2,36.9,14,164.6,51.0
シゲルポインター,牡3,1:13.2,36.6,16,241.0,56.0
カフジリバー,牡3,1:13.7,37.1,7,16.5,56.0
ユキエファルコン,牡3,1:13.9,38.0,6,13.8,56.0
ファヴォーラ,牝3,1:14.4,38.6,1,2.4,54.0
ハヤブサピクシー,牝3,1:14.5,38.0,15,234.5,54.0
ナムラスムージー,牝3,1:15.1,38.4,11,86.0,54.0
タマノオータム,牝3,1:15.4,39.7,10,60.2,54.0
パールズベスト,牝3,1:15.4,39.6,4,7.6,54.0
ピンクブリザード,牝3,1:15.9,39.5,12,93.7,54.0
タガノスタッブス,牝3,1:18.8,43.6,13,139.4,54.0
